Date	serie1	serie2	serie3	serie4	serie5	serie6
01/11/01	8.918	0.262509	0.020161517	-0.003551659	0.020161517	0.003551659
09/11/01	9.378	0.278444	0.050294814	0.058931595	0.050294814	0.058931595
16/11/01	9.387	0.286929	0.000959233	0.030017836	0.000959233	0.030017836
23/11/01	9.444	0.285415	0.006053866	-0.005290537	0.006053866	0.005290537
30/11/01	9.524	0.287349	0.008435309	0.006753243	0.008435309	0.006753243
07/12/01	9.992	0.296914	0.047969844	0.03274503	0.047969844	0.03274503
14/12/01	10.202	0.311688	0.020799007	0.048560153	0.020799007	0.048560153
21/12/01	10.679	0.319785	0.045695417	0.025646208	0.045695417	0.025646208
28/12/01	11.039	0.309569	0.033155261	-0.032467887	0.033155261	0.032467887
04/01/02	11.193	0.229827	0.013854126	-0.297854156	0.013854126	0.297854156
11/01/02	10.879	0.226639	-0.028454257	-0.013968409	0.028454257	0.013968409
18/01/02	10.924	0.228319	0.004127878	0.007385331	0.004127878	0.007385331
25/01/02	10.456	0.226611	-0.043786227	-0.007508883	0.043786227	0.007508883
01/02/02	9.921	0.220826	-0.052522254	-0.02585983	0.052522254	0.02585983
08/02/02	9.557	0.2225	-0.037379852	0.007552041	0.037379852	0.007552041
15/02/02	9.523	0.22343	-0.003563945	0.004171064	0.003563945	0.004171064
22/02/02	9.145	0.21905	-0.040502643	-0.019798152	0.040502643	0.019798152
01/03/02	9.166	0.215949	0.002293704	-0.014257746	0.002293704	0.014257746
08/03/02	8.979	0.221277	-0.020612469	0.024373042	0.020612469	0.024373042
15/03/02	9.017	0.22766	0.004223167	0.028437978	0.004223167	0.028437978
22/03/02	9.106	0.228255	0.009821852	0.002610137	0.009821852	0.002610137
28/03/02	9.193	0.22235	0.009508788	-0.026210708	0.009508788	0.026210708
05/04/02	9.298	0.228609	0.011356998	0.027760404	0.011356998	0.027760404
12/04/02	9.044	0.228991	-0.027697769	0.001669581	0.027697769	0.001669581
19/04/02	8.824	0.224635	-0.024626272	-0.019205839	0.024626272	0.019205839
26/04/02	8.603	0.225042	-0.025364302	0.001810189	0.025364302	0.001810189
03/05/02	8.444	0.215588	-0.01865485	-0.042917873	0.01865485	0.042917873
10/05/02	8.47	0.203673	0.003074379	-0.056853412	0.003074379	0.056853412
17/05/02	8.363	0.2004	-0.012713294	-0.016200397	0.012713294	0.016200397
24/05/02	8.21	0.196375	-0.018464291	-0.020289273	0.018464291	0.020289273
31/05/02	8.194	0.188254	-0.001950744	-0.042233982	0.001950744	0.042233982
07/06/02	7.633	0.17249	-0.070921226	-0.087452851	0.070921226	0.087452851
14/06/02	6.96	0.155535	-0.092301478	-0.103468477	0.092301478	0.103468477
21/06/02	6.201	0.137263	-0.115468905	-0.124971993	0.115468905	0.124971993
28/06/02	5.975	0.114346	-0.037126472	-0.182669854	0.037126472	0.182669854
05/07/02	5.858	0.112222	-0.019775849	-0.018749887	0.019775849	0.018749887
12/07/02	6.338	0.139823	0.078755013	0.219898285	0.078755013	0.219898285
19/07/02	7.01	0.142474	0.10077444	0.01878219	0.10077444	0.01878219
26/07/02	7.272	0.142838	0.036693656	0.002551594	0.036693656	0.002551594
02/08/02	7.548	0.126502	0.037251271	-0.121453003	0.037251271	0.121453003
09/08/02	7.62	0.134131	0.009493742	0.058558816	0.009493742	0.058558816
16/08/02	7.454	0.129779	-0.022025569	-0.032983931	0.022025569	0.032983931
23/08/02	7.334	0.13865	-0.016229731	0.066119768	0.016229731	0.066119768
30/08/02	7.462	0.142557	0.017302405	0.027789148	0.017302405	0.027789148
06/09/02	7.019	0.149936	-0.061202717	0.050466617	0.061202717	0.050466617
13/09/02	7.513	0.156901	0.068014096	0.045406497	0.068014096	0.045406497
20/09/02	7.346	0.151138	-0.022478906	-0.037421706	0.022478906	0.037421706
27/09/02	7.201	0.138954	-0.019936042	-0.084050384	0.019936042	0.084050384
04/10/02	8.246	0.144278	0.135508329	0.037599051	0.135508329	0.037599051
11/10/02	8.28	0.14295	0.004114734	-0.009247075	0.004114734	0.009247075
18/10/02	9.307	0.145129	0.116923837	0.015128083	0.116923837	0.015128083
25/10/02	10.475	0.162623	0.118224661	0.113811636	0.118224661	0.113811636
01/11/02	11.236	0.177089	0.070131443	0.085217793	0.070131443	0.085217793
08/11/02	11.377	0.194538	0.012470864	0.093975086	0.012470864	0.093975086
14/11/02	10.808	0.196842	-0.051307173	0.01177386	0.051307173	0.01177386
22/11/02	11.216	0.199209	0.03705473	0.011953148	0.03705473	0.011953148
29/11/02	10.918	0.1899	-0.026928527	-0.047856907	0.026928527	0.047856907
06/12/02	10.549	0.1858	-0.034381735	-0.021826791	0.034381735	0.021826791
13/12/02	10.641	0.1834	0.008683396	-0.013001267	0.008683396	0.013001267
20/12/02	11.456	0.1999	0.073799146	0.086147682	0.073799146	0.086147682
27/12/02	11.364	0.1961	-0.008063146	-0.019192508	0.008063146	0.019192508
03/01/03	11.791	0.2075	0.036886065	0.056506606	0.036886065	0.056506606
10/01/03	12.524	0.239	0.060310275	0.141332212	0.060310275	0.141332212
17/01/03	12.385	0.2471	-0.011160741	0.033329561	0.011160741	0.033329561
24/01/03	11.697	0.2452	-0.057153664	-0.007718909	0.057153664	0.007718909
31/01/03	12.409	0.239	0.059089617	-0.025610652	0.059089617	0.025610652
07/02/03	12.51	0.2479	0.008106309	0.036561887	0.008106309	0.036561887
14/02/03	12.373	0.2382	-0.011011645	-0.039914782	0.011011645	0.039914782
21/02/03	12.569	0.2407	0.015716786	0.010440688	0.015716786	0.010440688
28/02/03	12.695	0.2435	0.00997475	0.011565598	0.00997475	0.011565598
07/03/03	12.931	0.2547	0.018419314	0.044969439	0.018419314	0.044969439
14/03/03	13.038	0.2588	0.008240641	0.015969181	0.008240641	0.015969181
21/03/03	12.997	0.25	-0.003149609	-0.034594645	0.003149609	0.034594645
28/03/03	12.074	0.249	-0.073664181	-0.004008021	0.073664181	0.004008021
04/04/03	12.239	0.2553	0.013573194	0.024986428	0.013573194	0.024986428
11/04/03	12.417	0.262	0.014438927	0.02590518	0.014438927	0.02590518
17/04/03	13.228	0.272	0.063269294	0.037457563	0.063269294	0.037457563
25/04/03	12.701	0.2817	-0.040655065	0.035040609	0.040655065	0.035040609
02/05/03	12.178	0.2805	-0.042049685	-0.00426895	0.042049685	0.00426895
09/05/03	11.76	0.2688	-0.034927103	-0.042606116	0.034927103	0.042606116
16/05/03	10.2	0.2679	-0.142316222	-0.003353832	0.142316222	0.003353832
23/05/03	9.71	0.2315	-0.049231438	-0.146033903	0.049231438	0.146033903
30/05/03	9.1	0.2107	-0.064881869	-0.094144553	0.064881869	0.094144553
06/06/03	9.18	0.2084	0.008752791	-0.010976011	0.008752791	0.010976011
13/06/03	9.03	0.2043	-0.016474837	-0.019869808	0.016474837	0.019869808
20/06/03	8.33	0.1921	-0.080688911	-0.061573432	0.080688911	0.061573432
27/06/03	8.1	0.1803	-0.027999395	-0.06339394	0.027999395	0.06339394
04/07/03	8.12	0.1638	0.002466092	-0.095975959	0.002466092	0.095975959
11/07/03	7.98	0.1607	-0.017391743	-0.019106899	0.017391743	0.019106899
18/07/03	8.09	0.1631	0.01369032	0.014824237	0.01369032	0.014824237
25/07/03	8.6	0.1843	0.061133472	0.122201355	0.061133472	0.122201355
01/08/03	9.18	0.1976	0.065265001	0.069679921	0.065265001	0.069679921
08/08/03	10.11	0.1963	0.096497828	-0.006600684	0.096497828	0.006600684
15/08/03	10	0.2026	-0.01093994	0.031589491	0.01093994	0.031589491
22/08/03	9.98	0.2041	-0.002002003	0.007376478	0.002002003	0.007376478
29/08/03	9.28	0.2069	-0.072721544	0.013625515	0.072721544	0.013625515
05/09/03	8.91	0.2073	-0.040687305	0.001931435	0.040687305	0.001931435
12/09/03	8.44	0.2059	-0.054191933	-0.006776405	0.054191933	0.006776405
19/09/03	7.97	0.191	-0.057297816	-0.075117186	0.057297816	0.075117186
26/09/03	7.42	0.1822	-0.071505436	-0.047168443	0.071505436	0.047168443
03/10/03	7.45	0.1674	0.004034975	-0.084718827	0.004034975	0.084718827
10/10/03	7.71	0.1836	0.034304155	0.09237332	0.034304155	0.09237332
17/10/03	7.44	0.1957	-0.035647339	0.063823396	0.035647339	0.063823396
24/10/03	7.13	0.1951	-0.042559614	-0.003070627	0.042559614	0.003070627
31/10/03	6.88	0.1801	-0.035692582	-0.079999995	0.035692582	0.079999995
07/11/03	7.02	0.185	0.020144566	0.026843573	0.020144566	0.026843573
14/11/03	6.88	0.1931	-0.020144566	0.042852364	0.020144566	0.042852364
21/11/03	7.07	0.1918	0.027241828	-0.006755027	0.027241828	0.006755027
28/11/03	7.13	0.1961	0.008450755	0.022171571	0.008450755	0.022171571
05/12/03	7.27	0.2058	0.019445057	0.04828009	0.019445057	0.04828009
12/12/03	7.32	0.209	0.006854036	0.015429429	0.006854036	0.015429429
19/12/03	7.32	0.2106	0	0.007626348	0	0.007626348
26/12/03	7.33	0.2085	0.001365188	-0.010021558	0.001365188	0.010021558
02/01/04	7.28	0.2107	-0.006844654	0.01049628	0.006844654	0.01049628
09/01/04	7.39	0.2069	0.014996873	-0.018199736	0.014996873	0.018199736
16/01/04	6.98	0.1988	-0.057078818	-0.039936291	0.057078818	0.039936291
23/01/04	6.54	0.1793	-0.065111751	-0.103238914	0.065111751	0.103238914
30/01/04	6.07	0.1814	-0.07457856	0.011644157	0.07457856	0.011644157
06/02/04	6.22	0.1652	0.024411302	-0.093547677	0.024411302	0.093547677
13/02/04	6.26	0.1276	0.006410278	-0.25825649	0.006410278	0.25825649
20/02/04	6.03	0.1085	-0.037433174	-0.162150198	0.037433174	0.162150198
27/02/04	6.26	0.1232	0.037433174	0.127058878	0.037433174	0.127058878
05/03/04	6.5	0.1227	0.037621992	-0.004066699	0.037621992	0.004066699
12/03/04	6.94	0.1121	0.065499598	-0.090351022	0.065499598	0.090351022
19/03/04	7.59	0.1135	0.089529817	0.012411507	0.089529817	0.012411507
26/03/04	8.74	0.1176	0.141078598	0.035486199	0.141078598	0.035486199
02/04/04	9.77	0.1463	0.111406276	0.218370273	0.111406276	0.218370273
08/04/04	10.05	0.1557	0.028256168	0.062271771	0.028256168	0.062271771
16/04/04	9.86	0.1463	-0.019086466	-0.062271771	0.019086466	0.062271771
23/04/04	9.58	0.1329	-0.028808577	-0.096062342	0.028808577	0.096062342
30/04/04	8.29	0.1371	-0.144627623	0.031113621	0.144627623	0.031113621
07/05/04	7.5	0.1368	-0.100146949	-0.002190581	0.100146949	0.002190581
14/05/04	7.08	0.1398	-0.057629113	0.021692825	0.057629113	0.021692825
21/05/04	6.71	0.1594	-0.053674957	0.131203937	0.053674957	0.131203937
28/05/04	7.43	0.1773	0.101926908	0.106426447	0.101926908	0.106426447
04/06/04	8.13	0.1717	0.090035065	-0.032094445	0.090035065	0.032094445
11/06/04	8.59	0.1714	0.055037812	-0.001748762	0.055037812	0.001748762
18/06/04	8.68	0.1695	0.010422793	-0.011147079	0.010422793	0.011147079
25/06/04	8.68	0.1725	0	0.01754431	0	0.01754431
02/07/04	8.7	0.1753	0.002301497	0.016101555	0.002301497	0.016101555
08/07/04	8.83	0.1783	0.014831989	0.016968733	0.014831989	0.016968733
16/07/04	9.27	0.1885	0.048628365	0.055630482	0.048628365	0.055630482
23/07/04	9.37	0.2145	0.010729717	0.129211731	0.010729717	0.129211731
30/07/04	9.67	0.2159	0.031515213	0.006505599	0.031515213	0.006505599
06/08/04	9.9	0.2163	0.023506448	0.001850995	0.023506448	0.001850995
13/08/04	10.03	0.2171	0.013045845	0.003691744	0.013045845	0.003691744
20/08/04	10.19	0.2175	0.015826245	0.001840774	0.015826245	0.001840774
27/08/04	10.07	0.2174	-0.011846141	-0.000459876	0.011846141	0.000459876
03/09/04	10.16	0.2177	0.008897735	0.001378994	0.008897735	0.001378994
10/09/04	10.17	0.2215	0.000983768	0.017304621	0.000983768	0.017304621
17/09/04	9.96	0.2236	-0.020865138	0.009436152	0.020865138	0.009436152
24/09/04	9.73	0.2371	-0.023363175	0.058623252	0.023363175	0.058623252
01/10/04	9.61	0.2522	-0.012409673	0.06174043	0.012409673	0.06174043
08/10/04	9.64	0.2663	0.003116886	0.054401069	0.003116886	0.054401069
15/10/04	9.63	0.2707	-0.001037883	0.016387704	0.001037883	0.016387704
22/10/04	9.67	0.2829	0.004145084	0.044082282	0.004145084	0.044082282
29/10/04	9.93	0.2881	0.026532169	0.018214164	0.026532169	0.018214164
05/11/04	10.1	0.2963	0.016974946	0.028064812	0.016974946	0.028064812
12/11/04	10.58	0.2995	0.046430003	0.010741963	0.046430003	0.010741963
19/11/04	10.9	0.303	0.029797363	0.011618388	0.029797363	0.011618388
26/11/04	11.55	0.3019	0.057922648	-0.003636969	0.057922648	0.003636969
03/12/04	11.85	0.2891	0.025642431	-0.043323188	0.025642431	0.043323188
10/12/04	11.59	0.2811	-0.02218521	-0.028062171	0.02218521	0.028062171
17/12/04	11.54	0.2789	-0.004323396	-0.007857183	0.004323396	0.007857183
23/12/04	11.28	0.2788	-0.022788015	-0.000358616	0.022788015	0.000358616
30/12/04	11.26	0.2824	-0.001774623	0.012829827	0.001774623	0.012829827
07/01/05	11.01	0.2825	-0.022452672	0.000354045	0.022452672	0.000354045
14/01/05	10.93	0.2823	-0.007292649	-0.000708215	0.007292649	0.000708215
21/01/05	10.82	0.2846	-0.010115029	0.00811435	0.010115029	0.00811435
28/01/05	10.8	0.2849	-0.001850139	0.001053556	0.001850139	0.001053556
04/02/05	11	0.2933	0.018349139	0.029057734	0.018349139	0.029057734
11/02/05	11.04	0.2929	0.003629768	-0.001364722	0.003629768	0.001364722
18/02/05	11.14	0.2977	0.009017194	0.016255014	0.009017194	0.016255014
25/02/05	11.11	0.2936	-0.002696631	-0.013867971	0.002696631	0.013867971
04/03/05	11.11	0.2908	0	-0.009582551	0	0.009582551
11/03/05	11.45	0.286	0.030144126	-0.016643935	0.030144126	0.016643935
18/03/05	12.84	0.2835	0.114575568	-0.008779688	0.114575568	0.008779688
24/03/05	13.55	0.2837	0.053821249	0.000705219	0.053821249	0.000705219
01/04/05	14.16	0.2885	0.044034541	0.016777744	0.044034541	0.016777744
08/04/05	14.44	0.2968	0.019581045	0.028363425	0.019581045	0.028363425
15/04/05	12.92	0.2942	-0.111225635	-0.008798703	0.111225635	0.008798703
22/04/05	12.22	0.2791	-0.055702545	-0.052689668	0.055702545	0.052689668
29/04/05	10.82	0.2703	-0.12167768	-0.032037687	0.12167768	0.032037687
06/05/05	10.99	0.2434	0.015589495	-0.104826273	0.015589495	0.104826273
13/05/05	10.67	0.2325	-0.029549703	-0.045815956	0.029549703	0.045815956
20/05/05	10.47	0.2332	-0.01892204	0.003006229	0.01892204	0.003006229
27/05/05	10.65	0.2398	0.017045867	0.027908788	0.017045867	0.027908788
03/06/05	10.57	0.2383	-0.007540092	-0.006274858	0.007540092	0.006274858
10/06/05	10.45	0.233	-0.011417821	-0.022491931	0.011417821	0.022491931
17/06/05	10.84	0.2423	0.036641018	0.039138174	0.036641018	0.039138174
24/06/05	11.16	0.2508	0.029092961	0.034479181	0.029092961	0.034479181
01/07/05	11.85	0.2777	0.059991911	0.101885586	0.059991911	0.101885586
08/07/05	12.07	0.2825	0.018395168	0.017137156	0.018395168	0.017137156
15/07/05	12.59	0.2909	0.042179813	0.029301015	0.042179813	0.029301015
22/07/05	12.31	0.2886	-0.022490908	-0.007937919	0.022490908	0.007937919
29/07/05	12.57	0.2734	0.020901082	-0.054105722	0.020901082	0.054105722
05/08/05	13.05	0.2836	0.037475111	0.03662887	0.037475111	0.03662887
12/08/05	12.96	0.2819	-0.006920443	-0.006012397	0.006920443	0.006012397
19/08/05	12.55	0.2769	-0.032147025	-0.017895968	0.032147025	0.017895968
26/08/05	12.76	0.2732	0.016594612	-0.013452302	0.016594612	0.013452302
02/09/05	13.24	0.2785	0.036927273	0.019213932	0.036927273	0.019213932
09/09/05	13.52	0.287	0.02092752	0.030064156	0.02092752	0.030064156
16/09/05	13.78	0.3092	0.019048195	0.074506101	0.019048195	0.074506101
23/09/05	14.31	0.3462	0.037740328	0.113028326	0.037740328	0.113028326
